Policy,Tag,Net Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2
Abolish the police,5,-64,0.25,"Some Democrats in Congress have proposed abolishing the police. Under this bill, communities would no longer have police departments or police officers to prevent crime. The money saved from abolishing the police would be spent on expanding social services. 
","Democrats support this policy because they say policing in America is fundamentally broken and disproportionately harms communities of color, and resources would better serve public safety through mental health services and poverty reduction.","Democrats support this policy because they say that by redirecting spending on policing to public services, this bill will lower poverty, address the root causes of crime, and reduce criminal activity.","Republicans oppose this policy because they say that with crime rising in recent years, now is not the time to abolish the police. They say the police keep us safe, and abolishing them will increase violence.",Republicans oppose this policy because they say that abolishing the police will mean there are no cops to prevent and respond to crimes. They say this will increase the crime rate and make our neighborhoods less safe.
Acquire Greenland,6,-16,0.25,Some Republicans in the Trump administration are proposing to pursue US ownership of Greenland through economic or military pressure. Under this policy the Trump administration will seek to acquire Greenland from Denmark to secure strategic resources and territory.,Democrats oppose this policy because they say threatening a NATO ally over territorial claims would damage crucial international relationships and violate international law.,"Democrats oppose this policy because they say it sets a dangerous precedent, suggesting to other countries that they could take over other territories if they wanted to.",Republicans support this policy because they say we must secure American strategic interests.,Republicans support this policy because they say Greenland's strategic location and natural resources are vital for American economic security and Arctic presence.
Allow SNAP benefits to go towards diapers,7,11,0.5,"Some Democrats in Congress have proposed allowing the Supplemental Nutrition Assistance Program (SNAP) to cover diapers. Under this policy, low-income families who receive food stamps would be able to use their benefits to purchase diapers for their children.","Democrats support this policy because they say that diapers are an essential item, just like food. They say that no child should have to go without diapers because their family can’t afford them.","Democrats support this policy because they say that voters and politicians from both parties agree that this is a common sense proposal that will help low income parents afford the costs of raising families, without raising taxes.","Republicans oppose this policy because they say that it is not the government’s job to provide diapers to families. They say that families need to be independent, and should not rely on the government for support.","Republicans oppose this policy because they say that the vast majority of American families have no trouble affording diapers. They say this bill is unnecessary, and would not help the average American."
Abolish single-family zoning,3,-29,0.5,"Some Democrats in Congress have proposed abolishing single-family zoning. Under this bill, cities and towns would be required to allow multi-family housing and more density in all areas, and would not be allowed to limit development in any area to only single-family homes.","Democrats support this policy because they say we need to address housing shortages, which have driven up costs and made it impossible for many Americans to find affordable housing near where they work.","Democrats support this policy because they say everyone deserves access to affordable housing in safe neighborhoods with good schools and economic opportunity, and that this policy will lower costs.","Republicans oppose this policy because they say it's not right for the government to force density on communities that don't want it, and that this policy will unfairly reduce property values for homeowners who worked hard to be there.","Republicans oppose this policy because they say local communities should be able to make their own zoning decisions based on local needs and preferences, not federal mandates that override local control."
25% tariffs on Canada and Mexico,1,-2,0.5,"Some Republicans in the Trump administration are proposing to impose 25 percent tariffs on goods from Canada and Mexico. Under this policy the Trump administration will add new trade taxes on Canadian and Mexican imports, in retaliation for concerns about border security.",Democrats oppose this policy because they say these tariffs will raise prices for American consumers and trigger counter retaliation that hurts American farmers and manufacturers.,Democrats oppose this policy because they say it represents harmful economic nationalism.,Republicans support this policy because they say we must use economic pressure to defend our borders.,Republicans support this policy because they say Canada and Mexico aren't doing enough to stop illegal immigration and drug trafficking at our borders.
Allow teachers to deduct the cost of school supplies from their taxes,8,35,0.75,Some Democrats in Congress have proposed allowing K-12 teachers to deduct the cost of school supplies they purchase using their own money from their taxes.,"Democrats support this policy because they teachers who spend their own money to help their students learn deserve a little help, especially with costs on the rise.",Democrats support this policy because they say it supports underpaid teachers and helps provide resources for students in underfunded schools.,Republicans oppose this policy because they say it masks the real problem of wasteful school budgets and encourages schools to shift costs onto teachers rather than cutting wasteful spending.,Republicans oppose this policy because they say it doesn't address the underlying issues of educational quality and wasteful school funding.
Abolish prisons,2,-55,0.25,"Some Democrats in Congress have proposed to abolish all prisons. Under this policy, all criminals would be sent to diversion programs, rehab, or mental health programs, rather than having to serve time in jail.
",Democrats support this policy because they say prisons have failed to rehabilitate people and disproportionately harm communities of color while doing little to address the root causes of crime.,Democrats support this policy because they say it represents a more humane and effective approach to justice focused on rehabilitation rather than punishment.,"Republicans oppose this policy because they say people who commit violent crimes like murder and assault should be punished for that, and for that we need prisons.","Republicans oppose this policy because they say that if we get rid of prisons, there will be no reason for people not to commit crimes freely. They say this will increase violence, and make our communities less safe."
Ban abortion after 15 weeks,9,-9,0.75,"Some Republicans in the Trump administration are proposing to ban abortion after 15 weeks of pregnancy. Under this policy, the Trump administration would enact a national abortion ban after 15 weeks of pregnancy.",Democrats oppose this policy because they say it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Democrats oppose this policy because they say a national 15-week ban disregards medical needs and individual circumstances, and these decisions should be between a person and their doctor - not the government.","Republicans support this policy because they say that the federal government has a responsibility to take reasonable steps to restrict abortion access, because the government should protect life.",Republicans support this policy because they say that a 15-week limit on abortion balances a person's rights with the need to protect the unborn.
Abolish the death penalty,4,-22,0.5,Some Democrats in Congress have proposed abolishing the death penalty nationwide. Under this policy states would no longer be allowed to execute prisoners.,"Democrats support this policy because they say the death penalty is applied unfairly, often based on race and income.","Democrats support this policy because they say too many innocent people have been wrongly executed, and life in prison is a better punishment that avoids irreversible mistakes.","Republicans oppose this bill because they say the most violent criminals, like murderers and terrorists, deserve the ultimate punishment.","Republicans oppose this bill because they say that with crime on the rise, we shouldn't be removing a deterrent against committing serious crimes."
Designate cartels as terrorist organizations,51,43,0.75,"Some Republicans in the Trump administration are proposing to designate Mexican drug cartels as foreign terrorist organizations. Under this policy the Trump administration will treat cartels like other terrorist groups, allowing expanded law enforcement and military options against them.",Democrats oppose this policy because they say it represents a dangerous escalation that could lead to unintended consequences.,Democrats oppose this policy because they say it could damage US-Mexico relations and lead to military interventions that would destabilize the region and increase violence.,Republicans support this policy because they say we must use every available tool to combat dangerous criminal organizations threatening American security.,Republicans support this policy because they say cartels are already acting like terrorists through violence and trafficking and need to be fought with the full power of counter-terrorism tools.
