Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
Complete the border wall,Republican,,25,,11,44,55,55,55,44,1,"Some Republicans in the Trump administration are proposing to complete the U.S.-Mexico border wall. Under this policy, the Trump administration would send the National Guard to the U.S.-Mexico border and restart construction of the border wall.","it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",a border wall would not address the root cause of immigration and unnecessarily increase federal spending.,that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,completing the border wall would enhance national security by better controlling undocumented immigration.,that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,completing the border wall would enhance national security by better controlling undocumented immigration.,"it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",a border wall would not address the root cause of immigration and unnecessarily increase federal spending.,11.60%,44.20%,55.80%,55.80%,55.80%,44.20%
Medicare for All,Democratic,,127,,-11,44,55,55,44,55,0.75,"Some Democrats in Congress have proposed a ""Medicare for All"" plan that would spend $2 trillion a year to create a government run health insurance plan that would cover all Americans, and eliminate all existing private health insurance plans. This new plan would eliminate monthly premiums, deductibles, and out of pocket costs. This policy would be funded by increasing the payroll tax from its current level of 15% of wage income, to a new level of 32% of wage income. 
","Medicare for All will guarantee health insurance while eliminating premiums, copays, deductibles, and medical bankruptcy.","a Medicare for All system will lower costs, eliminate insurance bureaucracy, and provide better coverage for all Americans.",with inflation already too high we shouldn't be raising taxes on American workers by trillions of dollars and making healthcare government-controlled.,"banning private insurance and overhauling Medicare is just too big of a change, and will raise costs when we should be lowering them.","Medicare for All will guarantee health insurance while eliminating premiums, copays, deductibles, and medical bankruptcy.","a Medicare for All system will lower costs, eliminate insurance bureaucracy, and provide better coverage for all Americans.",with inflation already too high we shouldn't be raising taxes on American workers by trillions of dollars and making healthcare government-controlled.,"banning private insurance and overhauling Medicare is just too big of a change, and will raise costs when we should be lowering them.",-11.40%,44.30%,55.70%,55.70%,44.30%,55.70%
Ban abortion after 15 weeks,Republican,,9,,-9,54,45,54,45,54,0.75,"Some Republicans in the Trump administration are proposing to ban abortion after 15 weeks of pregnancy. Under this policy, the Trump administration would enact a national abortion ban after 15 weeks of pregnancy.",it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"a national 15-week ban disregards medical needs and individual circumstances, and these decisions should be between a person and their doctor - not the government.","that the federal government has a responsibility to take reasonable steps to restrict abortion access, because the government should protect life.",that a 15-week limit on abortion balances a person's rights with the need to protect the unborn.,"that the federal government has a responsibility to take reasonable steps to restrict abortion access, because the government should protect life.",that a 15-week limit on abortion balances a person's rights with the need to protect the unborn.,it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"a national 15-week ban disregards medical needs and individual circumstances, and these decisions should be between a person and their doctor - not the government.",-9.40%,54.70%,45.30%,54.70%,45.30%,54.70%
Shut down asylum requests at the border,Republican,,183,,22,38,61,61,61,38,1,"Some Republicans in the Trump administration are proposing to end asylum requests at the U.S.-Mexico border. Under this policy, the Trump administration would require that asylum-seekers from Mexico wait in the country while awaiting hearings in U.S. immigration court.","it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",a shut down of asylum requests at the border would lead to the separation of families and inhumane treatment of people escaping dangerous situations.,that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,"it would strengthen our Southern border, making the country safer and reducing the burden of the migrant crisis on American communities.",that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,"it would strengthen our Southern border, making the country safer and reducing the burden of the migrant crisis on American communities.","it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",a shut down of asylum requests at the border would lead to the separation of families and inhumane treatment of people escaping dangerous situations.,22.20%,38.90%,61.10%,61.10%,61.10%,38.90%
Require financial disclosures from Elon Musk,Democratic,,175,,18,59,40,59,59,40,0.75,"Some Democrats in Congress have proposed requring Elon Musk to disclose potential conflicts of interest between his government work and business activities. Under this policy, Musk, who is the head of the Department of Government Efficiency (DOGE), would have to report any financial connections that could influence his official decisions.",government officials should be transparent about their financial interests to ensure they're serving the public good rather than their own business interests.,accountability and transparency are essential when private sector leaders take on government roles with significant influence.,it unfairly targets a successful businessman who is volunteering his time and expertise to help make government more efficient and save taxpayer dollars.,it would discourage qualified business leaders from serving in government and represents Democrats' attempt to obstruct meaningful government reform.,government officials should be transparent about their financial interests to ensure they're serving the public good rather than their own business interests.,accountability and transparency are essential when private sector leaders take on government roles with significant influence.,it unfairly targets a successful businessman who is volunteering his time and expertise to help make government more efficient and save taxpayer dollars.,it would discourage qualified business leaders from serving in government and represents Democrats' attempt to obstruct meaningful government reform.,18.20%,59.10%,40.90%,59.10%,59.10%,40.90%
Decriminalize the possession of small amounts of illegal drugs for personal use,Democratic,,46,,-16,41,58,58,41,58,0.5,"Some Democrats in Congress have proposed decriminalizing possession of small amounts of illegal drugs for personal use. Under this policy, people caught with personal-use quantities of drugs like cocaine, heroin, and methamphetamine would not face criminal charges but would instead be referred to treatment services.","criminalizing addiction has failed, overcrowded our prisons with nonviolent offenders, and disproportionately harmed communities of color without reducing drug use.","addiction should be treated as a public health issue rather than a criminal one, focusing on treatment instead of punishment.","removing criminal penalties would normalize dangerous drug use, send the wrong message to young people, and lead to increased addiction and community deterioration.","that we shouldn't be legalizing the use of dangerous drugs, especially with crime already on the rise.","criminalizing addiction has failed, overcrowded our prisons with nonviolent offenders, and disproportionately harmed communities of color without reducing drug use.","addiction should be treated as a public health issue rather than a criminal one, focusing on treatment instead of punishment.","removing criminal penalties would normalize dangerous drug use, send the wrong message to young people, and lead to increased addiction and community deterioration.","that we shouldn't be legalizing the use of dangerous drugs, especially with crime already on the rise.",-16.40%,41.80%,58.20%,58.20%,41.80%,58.20%
Increase ICE operations from Biden-era levels,Republican,,103,,14,42,57,57,57,42,1,Some Republicans in the Trump administration are proposing to expand immigration enforcement operations in cities across America. Under this policy the Trump administration will increase ICE raids and deportation operations targeting undocumented immigrants.,it represents inhumane enforcement tactics.,aggressive raids are racially profiling Americans including Native Americans and terrorizing immigrant communities.,we need aggressive enforcement to remove illegal immigrants and criminal aliens from our communities.,we must enforce our immigration laws.,we need aggressive enforcement to remove illegal immigrants and criminal aliens from our communities.,we must enforce our immigration laws.,it represents inhumane enforcement tactics.,aggressive raids are racially profiling Americans including Native Americans and terrorizing immigrant communities.,14.20%,42.90%,57.10%,57.10%,57.10%,42.90%
"Create an additional 10,000 medical residency slots per year",Democratic,,36,,4,52,47,52,52,47,0.5,"Some Democrats in Congress have proposed spending $1 billion a year to the number of doctors who can be trained each year. Under current policy, the number of medical school graduates who are able to be trained to be doctors is limited to 40,000 per year. Under this new policy, that would be increased to 50,000, allowing an additional 10,000 doctors to be trained each year.","America faces a severe doctor shortage, and more residency slots would help address this crisis, lowering health care costs and expanding access to care.","all Americans deserve access to affordable, high quality healthcare, which requires training more doctors to meet growing demand and to lower rising costs.","this Americans deserve the best possible medical care, and this policy will lead to poorly trained students becoming doctors without being properly prepared.",we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,"America faces a severe doctor shortage, and more residency slots would help address this crisis, lowering health care costs and expanding access to care.","all Americans deserve access to affordable, high quality healthcare, which requires training more doctors to meet growing demand and to lower rising costs.","this Americans deserve the best possible medical care, and this policy will lead to poorly trained students becoming doctors without being properly prepared.",we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,4.40%,52.20%,47.80%,52.20%,52.20%,47.80%
Get rid of tracking in public schools,Democratic,,90,,-39,30,69,69,30,69,0.5,"Some Democrats in Congress have proposed to end the practice of separating students into different academic tracks based on test scores. Under this policy, public schools would be required to place all students in the same classes regardless of academic ability or achievement.",tracking often reinforces racial and socioeconomic disparities and denies opportunities to disadvantaged students who could excel with proper support.,all students benefit from diverse learning environments where everyone receives challenging instruction with appropriate support.,eliminating advanced classes would hold back gifted students and lead to declining academic standards as teachers are forced to teach to the middle.,"this is unfair to more advanced students, who deserve to be able to learn as much as possible. By getting rid of gifted programs, we’re hurting our most talented children.",tracking often reinforces racial and socioeconomic disparities and denies opportunities to disadvantaged students who could excel with proper support.,all students benefit from diverse learning environments where everyone receives challenging instruction with appropriate support.,eliminating advanced classes would hold back gifted students and lead to declining academic standards as teachers are forced to teach to the middle.,"this is unfair to more advanced students, who deserve to be able to learn as much as possible. By getting rid of gifted programs, we’re hurting our most talented children.",-39.20%,30.40%,69.60%,69.60%,30.40%,69.60%
Ban release of AI models that can make bioweapons,Democratic,,19,,10,55,44,55,55,44,0.5,"Some Democrats in Congress have proposed banning the release of Artificial Intelligence systems that have highly advanced capabilities in biological research. Under this bill, Artificial Intelligence systems that are capable of helping users design and manufacture bio-weapons, such as viruses and poisons, would not be allowed to be released to the public.",it is important to prevent terrorists and other bad actors from being able to build biological weapons.,allowing companies to release tools that can help build bioweapons will endanger public safety.,"this would reduce technological progress in fields with potential benefits, such as medical research and drug development.","it will limit the growth of the biotechnology industry, harming the economy and costing jobs.",it is important to prevent terrorists and other bad actors from being able to build biological weapons.,allowing companies to release tools that can help build bioweapons will endanger public safety.,"this would reduce technological progress in fields with potential benefits, such as medical research and drug development.","it will limit the growth of the biotechnology industry, harming the economy and costing jobs.",10.40%,55.20%,44.80%,55.20%,55.20%,44.80%
